city,income,house_price,happiness
Beijing,172076,70031,87.59
Shanghai,191116,81937,93.75
Shenzhen,189076,85617,90.03
Guangzhou,141687,62839,84.06
Hangzhou,144587,52896,83.36
Suzhou,140291,62156,81.96
Nanjing,135083,51637,82.58
Chengdu,125212,47428,81.45
Wuhan,112119,51106,78.11
Qingdao,110137,49762,74.12
Ningbo,123158,54595,79.75
Xiamen,131149,47361,81.81
Tianjin,118031,56918,77.82
Chongqing,130289,48673,83.06
Xi'an,86578,43198,71.35
Zhengzhou,87512,36064,73.22
Changsha,89036,34577,71.44
Hefei,96114,37122,72.83
Fuzhou,81612,30503,69.21
Jinan,77731,32337,70.51
Kunming,79077,26729,70.03
Harbin,95117,44349,72.78
Shenyang,77413,35175,69.19
Dalian,87788,32082,70.6
Changchun,89922,41007,69.74
Nanchang,91380,30724,71.01
Guiyang,94753,45712,74.63
Nanning,96463,43419,72.58
Haikou,80637,37119,68.49
Lanzhou,80960,27351,71.16
Yinchuan,82932,27063,70.64
Xining,77425,36869,68.64
Urumqi,81031,31030,70.69
Hohhot,93862,37301,73.96
Shijiazhuang,76965,37974,70.35
Taiyuan,96681,40598,76.31
City1,84835,30983,70.61
City2,85999,30256,70.85
City3,77284,28234,73.77
City4,85006,30816,75.22
City5,84293,33845,71.28
City6,92910,34362,71.17
City7,93632,40795,76.19
City8,83629,27325,71.96
City9,89971,34501,71.98
City10,89813,42799,71.81
City11,96872,38875,72.31
City12,75957,27457,72.86
City13,87730,35964,70.48
City14,82252,31468,71.71
City15,95736,43670,72.64
City16,96024,35735,76.88
City17,83330,29237,71.47
City18,76932,37634,69.82
City19,82696,28920,73.85
City20,86966,38625,72.44
City21,83959,33151,73.3
City22,73876,24864,71.62
City23,77905,32481,70.95
City24,88622,30519,75.56
City25,91061,45301,72.15
City26,76916,27341,71.38
City27,94408,35508,73.34
City28,94535,38662,73.61
City29,81731,28826,73.36
City30,77580,27633,68.91
City31,81692,42209,69.12
City32,93959,32002,76.63
City33,91916,45484,71.53
City34,88930,36088,75.47
City35,76998,32805,70.03
City36,86555,35244,72.07
City37,90139,38904,72.96
City38,75278,26473,72.21
City39,89414,34080,75.08
City40,82407,29003,72.24
City41,96574,42230,72.39
City42,96073,34460,74.51
City43,88803,45282,69.99
City44,81129,33138,69.2
City45,74408,30310,70.53
City46,78933,38211,70.92
City47,93383,37491,75.32
City48,74606,35653,70.96
City49,76819,26919,72.05
City50,91172,42568,71.91
City51,89949,41725,71.93
City52,81354,40364,72.68
City53,75480,29713,68.98
