city,happiness
Beijing,91.61
Shanghai,95
Tianjin,65.56
Chongqing,68.63
Guangzhou,82.16
Shenzhen,90.13
Hangzhou,83.86
Nanjing,95
Suzhou,85.5
Chengdu,88.33
Wuhan,72.21
Xi'an,72.74
Zhengzhou,66.05
Qingdao,83.94
Ningbo,88.14
Xiamen,88.27
Fuzhou,67.59
Jinan,73.7
Changsha,72.2
Hefei,69.1
Kunming,68.94
Harbin,73.1
Shenyang,67.14
Dalian,69.07
Changchun,72.59
Nanchang,62.13
Guiyang,71.06
Nanning,56.83
Haikou,62.13
Lanzhou,74.41
Yinchuan,70.83
Xining,64.92
Urumqi,63.85
Hohhot,67.12
Shijiazhuang,74.73
Taiyuan,72.7
Wuxi,73.61
Foshan,67.37
Dongguan,72.06
Zhuhai,63.3
Zhongshan,68.07
Wenzhou,71.06
Jiaxing,69.3
Shaoxing,67.31
Jinhua,73
Taizhou,62.1
Huzhou,66.91
Lishui,57.03
Quzhou,67.01
Yantai,73.92
Weihai,73.92
Weifang,74.61
Linyi,70.27
Jining,72.17
Zibo,64.1
Dongying,67.75
Dezhou,74.92
Binzhou,67.35
Liaocheng,75.73
Tai'an,67.91
Rizhao,74.47
Luoyang,72.7
Kaifeng,78.78
Anyang,76
Xinxiang,65.77
Xuchang,72.44
Pingdingshan,69.97
Nanyang,71.36
Shangqiu,73.3
Zhoukou,65.89
Zhumadian,71.04
Xinyang,66.26
Yichang,73.7
Xiangyang,72.83
Jingzhou,70.52
Huangshi,75.53
Ezhou,66.73
Xiaogan,70.64
Huanggang,71.7
Xianning,76.11
Changde,69.63
Yueyang,71.48
Hengyang,67.47
Zhuzhou,64.57
Xiangtan,69.04
Yiyang,72.55
Loudi,75.75
Huaihua,69.29
Yongzhou,69.64
Chenzhou,70.87
Shaoyang,63.7
Yibin,72.01
Mianyang,67.33
Deyang,70.89
Leshan,65.7
Luzhou,74.15
Nanchong,69.06
Neijiang,71.61
Zigong,65.07
Meishan,69.34
Guang'an,74.59
Dazhou,60.5
Bazhong,74.5
Ya'an,65.76
Zunyi,71.67
Liupanshui,67.04
Anshun,71.12
Bijie,71.14
Tongren,71.26
Guilin,61.59
Liuzhou,69.92
Beihai,72.41
Qinzhou,71.49
Yulin,75.12
Baise,67.33
Hezhou,63.72
Hechi,61.96
Wuzhou,69.22
Sanya,72.38
Danzhou,68.14
Tangshan,65.51
Qinhuangdao,73.82
Baoding,70.58
Langfang,66.68
Cangzhou,66.37
Handan,71.19
Xingtai,70.84
Hengshui,70.71
Zhangjiakou,69.73
Chengde,74.12
Tibet,88.6
Hong Kong,77.4
Macau,84.2
Taiwan,81.8
City5,73.56
City6,64.37
City7,71.73
City8,84.64
City9,66.09
City10,69.78
City11,64.3
City12,71.76
City13,67.02
City14,73.06
City15,66.85
City16,70.11
City17,74.85
City18,69.79
City19,64.45
City20,65.69
City21,68.16
City22,74.69
City23,68.85
City24,72.27
City25,70.99
City26,64.12
City27,71.9
City28,69.02
City29,73.38
City30,75.87
City31,70.62
City32,65.24
City33,69.78
City34,69.38
City35,69.94
City36,70.75
City37,72.43
City38,64.35
City39,73.02
City40,67.15
City41,65.88
City42,67.02
City43,66.64
City44,72.63
City45,65.83
City46,70.43
City47,70.05
City48,70.84
City49,74.86
City50,75.6
City51,73.87
City52,69.85
City53,71.36
City54,69.04
City55,67.14
City56,70.05
City57,70.18
City58,74.03
City59,71.81
City60,62.77
City61,74.57
City62,72.51
City63,67.57
City64,75.35
City65,64.42
City66,69.6
City67,75.24
City68,76.01
City69,72.65
City70,67.82
City71,65.3
City72,69.63
City73,64.84
City74,67.19
City75,75.55
City76,71.76
City77,69.8
City78,69.49
City79,74.47
City80,71.32
City81,68.07
City82,61.99
City83,72.78
City84,70.6
City85,70.82
City86,66.64
City87,68.94
City88,66.68
City89,67.72
City90,75.84
City91,67.83
City92,64.88
City93,69.14
City94,71.47
City95,67.85
City96,74.6
City97,66.27
City98,71.73
City99,67.34
City100,70.73
City101,64.59
City102,69.89
City103,71.7
City104,72.55
City105,66.3
City106,63.8
City107,66.66
City108,69.53
City109,69.6
City110,71.31
City111,78.25
City112,70.49
City113,71.09
City114,66.22
City115,67.85
City116,66.51
City117,69.89
City118,74.2
City119,62.7
City120,68.09
City121,74.78
City122,81.16
City123,74.54
City124,66.38
City125,64.25
City126,74.65
City127,66.81
City128,69.39
City129,68.35
City130,65.1
City131,68.29
City132,66.45
City133,74.94
City134,76.44
City135,65.14
City136,79.12
City137,65.89
City138,63.93
City139,75.5
City140,66.89
City141,70.69
City142,71.17
City143,70.54
City144,66.76
City145,68.87
City146,72.51
City147,69.22
City148,71.19
City149,69.66
City150,68.79
City151,65.78
City152,69.9
City153,72.43
City154,70.81
City155,72.03
City156,63.95
City157,64.21
City158,63.66
City159,69.03
City160,71.86
City161,70.73
City162,75.15
City163,65.15
City164,73.33
City165,76.08
City166,67.52
City167,72.17
City168,74.93
City169,70.83
City170,68.8
