city,house_price
北京,48492
上海,61399
天津,11056
重庆,11579
广州,39415
深圳,84651
杭州,36331
南京,40679
苏州,41831
成都,24878
武汉,31028
西安,16217
郑州,9668
青岛,23982
宁波,25011
厦门,46216
福州,14662
济南,8763
长沙,9787
合肥,10895
昆明,11313
哈尔滨,11029
沈阳,11579
大连,13032
长春,12418
南昌,12073
贵阳,11390
南宁,12288
海口,13161
兰州,11880
银川,9987
西宁,12202
乌鲁木齐,11568
呼和浩特,13347
石家庄,12979
太原,13567
无锡,11733
佛山,12113
东莞,11053
珠海,12030
中山,12878
温州,14143
嘉兴,12298
绍兴,10243
金华,12399
台州,10451
湖州,13068
丽水,10270
衢州,13603
烟台,14044
威海,10925
潍坊,12206
临沂,11146
济宁,12667
淄博,8785
东营,12674
德州,10435
滨州,15385
聊城,9058
泰安,10373
日照,8987
洛阳,14748
开封,11681
安阳,10998
新乡,11283
许昌,13872
平顶山,14799
南阳,11283
商丘,10607
周口,12897
驻马店,11617
信阳,14164
宜昌,13974
襄阳,11825
荆州,11211
黄石,12396
鄂州,9660
孝感,10735
黄冈,10273
咸宁,13536
常德,13393
岳阳,14850
衡阳,12030
株洲,10476
湘潭,14207
益阳,11512
娄底,12793
怀化,10528
永州,13532
郴州,12079
邵阳,9914
宜宾,10256
绵阳,11370
德阳,9195
乐山,12810
泸州,12692
南充,12808
内江,13762
自贡,13868
眉山,13166
广安,14893
达州,12630
巴中,12837
雅安,11140
遵义,10269
六盘水,11035
安顺,11674
毕节,13983
铜仁,14175
桂林,15273
柳州,14060
北海,12063
钦州,11336
玉林,14827
百色,14538
贺州,11647
河池,11105
梧州,11000
三亚,10795
儋州,11844
唐山,13069
秦皇岛,10818
保定,12869
廊坊,11440
沧州,14053
邯郸,12161
邢台,12926
衡水,11913
张家口,9349
承德,13677
西藏,12500
香港,165000
澳门,98000
台湾,42000
南通,10687
扬州,8917
盐城,13159
镇江,10959
常州,11755
徐州,15407
淮安,11405
连云港,10948
芜湖,11971
安庆,10739
马鞍山,9093
蚌埠,10612
阜阳,13325
黄山,13561
宣城,13291
池州,12703
淮南,10552
铜陵,14028
江门,10490
惠州,14335
肇庆,10523
汕头,14679
潮州,13590
梅州,15108
韶关,12529
河源,10957
阳江,11810
湛江,12190
茂名,11739
揭阳,13309
清远,13458
舟山,11904
宜春,10104
景德镇,13258
萍乡,10785
九江,11038
赣州,12333
吉安,14034
上饶,11536
抚州,9757
莆田,8228
龙岩,9996
三明,8893
宁德,10187
漳州,7969
泉州,10187
南平,10105
宝鸡,13081
咸阳,10264
渭南,10862
汉中,12714
安康,11426
榆林,12365
延安,10253
晋城,11802
大同,11986
临汾,13999
运城,14218
阳泉,13285
长治,13379
齐齐哈尔,10983
大庆,13648
佳木斯,14582
牡丹江,11788
鸡西,13071
伊春,14356
鞍山,12602
抚顺,9828
本溪,11581
丹东,12773
锦州,13996
营口,13531
盘锦,12044
葫芦岛,13855
白城,8110
吉林市,11987
四平,10697
松原,9179
辽源,12543
通化,13198
白山,11473
吉林,15114
通辽,11871
赤峰,14384
鄂尔多斯,12845
巴彦淖尔,14503
乌海,11492
阿拉善,10461
武威,10632
天水,10622
酒泉,9824
张掖,11579
庆阳,9867
平凉,14763
石河子,14135
克拉玛依,11042
吐鲁番,12458
哈密,12388
大理,9283
曲靖,11578
玉溪,12043
保山,10590
丽江,7553
普洱,14262
红河,10986
西双版纳,10363
文山,11149
德宏,16147
漯河,11992
焦作,12699
鹤壁,10180
濮阳,13031
宿迁,11155
晋中,12750
