city,year,house_price
三亚,2005,3500
三亚,2006,3544
三亚,2007,4359
三亚,2008,3950
三亚,2009,4433
三亚,2010,5200
三亚,2011,5779
三亚,2012,6226
三亚,2013,6847
三亚,2014,6045
三亚,2015,6142
三亚,2016,7675
三亚,2017,9040
三亚,2018,9940
三亚,2019,10773
三亚,2020,11656
三亚,2021,11966
三亚,2022,11305
三亚,2023,11261
三亚,2024,10795
三明,2005,5131
三明,2006,6035
三明,2007,7791
三明,2008,7807
三明,2009,9319
三明,2010,11402
三明,2011,11876
三明,2012,11876
三明,2013,13295
三明,2014,12075
三明,2015,11500
三明,2016,14454
三明,2017,16479
三明,2018,15203
三明,2019,15726
三明,2020,16215
三明,2021,15073
三明,2022,12054
三明,2023,9666
三明,2024,8893
上海,2005,7100
上海,2006,8340
上海,2007,10972
上海,2008,11332
上海,2009,13687
上海,2010,16811
上海,2011,19249
上海,2012,21148
上海,2013,25183
上海,2014,25691
上海,2015,25435
上海,2016,31782
上海,2017,38369
上海,2018,43395
上海,2019,50128
上海,2020,53570
上海,2021,54828
上海,2022,54161
上海,2023,55523
上海,2024,61399
上饶,2005,3430
上饶,2006,4050
上饶,2007,4998
上饶,2008,4711
上饶,2009,5418
上饶,2010,6036
上饶,2011,6203
上饶,2012,6079
上饶,2013,6383
上饶,2014,5758
上饶,2015,5867
上饶,2016,7250
上饶,2017,8612
上饶,2018,9522
上饶,2019,11265
上饶,2020,12606
上饶,2021,13043
上饶,2022,12208
上饶,2023,11765
上饶,2024,11536
东莞,2005,3000
东莞,2006,3490
东莞,2007,4405
东莞,2008,4085
东莞,2009,4944
东莞,2010,5511
东莞,2011,5849
东莞,2012,6036
东莞,2013,6853
东莞,2014,6391
东莞,2015,6418
东莞,2016,7995
东莞,2017,9009
东莞,2018,9312
东莞,2019,10905
东莞,2020,12127
东莞,2021,12323
东莞,2022,11301
东莞,2023,11129
东莞,2024,11053
东营,2005,4791
东营,2006,5647
东营,2007,7091
东营,2008,6863
东营,2009,8268
东营,2010,9253
东营,2011,9708
