city,income
Beijing,181438
Shanghai,203863
Tianjin,76008
Chongqing,91580
Guangzhou,138320
Shenzhen,184738
Hangzhou,171972
Nanjing,124424
Suzhou,153293
Chengdu,128010
Wuhan,132139
Xi'an,79996
Zhengzhou,91156
Qingdao,102902
Ningbo,118969
Xiamen,168022
Fuzhou,74711
Jinan,91385
Changsha,86040
Hefei,69578
Kunming,101918
Harbin,80065
Shenyang,84667
Dalian,81118
Changchun,98296
Nanchang,95830
Guiyang,79680
Nanning,95476
Haikou,77129
Lanzhou,73450
Yinchuan,66069
Xining,92145
Urumqi,72050
Hohhot,105976
Shijiazhuang,91849
Taiyuan,84135
Wuxi,99812
Foshan,73036
Dongguan,79875
Zhuhai,97835
Zhongshan,91651
Wenzhou,100756
Jiaxing,97528
Shaoxing,80946
Jinhua,89888
Taizhou,90822
Huzhou,67119
Lishui,87436
Quzhou,100871
Yantai,105906
Weihai,81767
Weifang,87910
Linyi,87337
Jining,90750
Zibo,89479
Dongying,101278
Dezhou,96741
Binzhou,71890
Liaocheng,93414
Tai'an,99140
Rizhao,85463
Luoyang,95995
Kaifeng,106687
Anyang,93076
Xinxiang,67377
Xuchang,92233
Pingdingshan,100673
Nanyang,77153
Shangqiu,85848
Zhoukou,66694
Zhumadian,104996
Xinyang,84386
Yichang,105454
Xiangyang,91411
Jingzhou,75321
Huangshi,89946
Ezhou,85891
Xiaogan,107804
Huanggang,84355
Xianning,85661
Changde,89439
Yueyang,89235
Hengyang,73504
Zhuzhou,87413
Xiangtan,88607
Yiyang,91096
Loudi,87128
Huaihua,82718
Yongzhou,101138
Chenzhou,75558
Shaoyang,67295
Yibin,86073
Mianyang,90672
Deyang,95243
Leshan,93290
Luzhou,83216
Nanchong,96791
Neijiang,96121
Zigong,80051
Meishan,69180
Guang'an,72812
Dazhou,122228
Bazhong,83164
Ya'an,92615
Zunyi,100089
Liupanshui,92240
Anshun,107633
Bijie,86893
Tongren,84805
Guilin,81216
Liuzhou,95242
Beihai,97456
Qinzhou,87957
Yulin,88223
Baise,98425
Hezhou,88151
Hechi,75042
Wuzhou,87470
Sanya,78130
Danzhou,79502
Tangshan,95557
Qinhuangdao,92896
Baoding,98976
Langfang,82912
Cangzhou,94038
Handan,94921
Xingtai,103806
Hengshui,79007
Zhangjiakou,71870
Chengde,66150
City1,89074
City2,96203
City3,80044
City4,104110
City5,98605
City6,100401
City7,90964
City8,75276
City9,86644
City10,94744
City11,82546
City12,95820
City13,88231
City14,99450
City15,67105
City16,73706
City17,88137
City18,78635
City19,91135
City20,85258
City21,82988
City22,99807
City23,87315
City24,130981
City25,83439
City26,103099
City27,94559
City28,102667
City29,71890
City30,92654
City31,77484
City32,84791
City33,65050
City34,71677
City35,100342
City36,75997
City37,89893
City38,97550
City39,102880
City40,103233
City41,99644
City42,91930
City43,60269
City44,80672
City45,80742
City46,83404
City47,76044
City48,106074
City49,101173
City50,88638
City51,100590
City52,79245
City53,82305
City54,103668
City55,83736
City56,90981
City57,97388
City58,94410
City59,75254
City60,96184
City61,73251
City62,77198
City63,100004
City64,90285
City65,85064
City66,100040
City67,87645
City68,93307
City69,76472
City70,88759
City71,77794
City72,92622
City73,93341
City74,91245
City75,93318
City76,87384
City77,92495
City78,115575
City79,93685
City80,75867
City81,92230
City82,80276
City83,98311
City84,103389
City85,88741
City86,81773
City87,106003
City88,66559
City89,83621
City90,90380
City91,103900
City92,79419
City93,91884
City94,101028
City95,103898
City96,102635
City97,85442
City98,91175
City99,95092
City100,91361
City101,100085
City102,96955
City103,75193
City104,104727
City105,112280
City106,79130
City107,95231
City108,93260
City109,77295
City110,80697
City111,91516
City112,104552
City113,78433
City114,111685
City115,85428
City116,87276
City117,73418
City118,71005
City119,93656
City120,83710
City121,72850
City122,92771
City123,108546
City124,97324
City125,108375
City126,88325
City127,81459
City128,92048
City129,93224
City130,85726
City131,80661
City132,102488
City133,75970
City134,91728
City135,70870
City136,83520
City137,76222
City138,86312
City139,87549
City140,120112
City141,78208
City142,102104
City143,84034
City144,88529
City145,86392
City146,83947
City147,66606
City148,90495
City149,100380
City150,104904
City151,97643
City152,93476
City153,94548
City154,98416
City155,82800
City156,100777
City157,80586
City158,97636
City159,98641
City160,77383
City161,92424
City162,92788
City163,94775
City164,100371
City165,82411
City166,92123
City167,95434
City168,90807
City169,79579
City170,91889
