city,longitude,latitude
北京,116.4074,39.9042
上海,121.4737,31.2304
天津,117.2,39.1333
重庆,106.5516,29.563
广州,113.2644,23.1291
深圳,114.0579,22.5431
杭州,120.1551,30.2741
南京,118.7969,32.0603
苏州,120.5853,31.2989
成都,104.0665,30.5728
武汉,114.3054,30.5931
西安,108.9398,34.3416
郑州,113.6254,34.7466
青岛,120.3826,36.0671
宁波,121.5503,29.8746
厦门,118.0894,24.4798
福州,119.2965,26.0745
济南,117.1201,36.6512
长沙,112.9388,28.2282
合肥,117.2272,31.8206
昆明,102.8329,24.8801
哈尔滨,126.6425,45.7569
沈阳,123.4315,41.8057
大连,121.6147,38.914
长春,125.3235,43.8171
南昌,115.8582,28.682
贵阳,106.6302,26.647
南宁,108.3669,22.817
海口,110.1999,20.044
兰州,103.8343,36.0611
银川,106.2309,38.4872
西宁,101.7782,36.6171
乌鲁木齐,87.6168,43.8256
呼和浩特,111.7492,40.8426
石家庄,114.5149,38.0428
太原,112.5489,37.8706
无锡,119.0068,31.2855
佛山,113.7345,24.0866
东莞,112.9333,22.4637
珠海,113.7239,23.0378
中山,112.0882,23.9682
温州,120.1895,30.7198
嘉兴,120.8062,29.4199
绍兴,120.3111,29.8607
金华,120.6245,31.2366
台州,120.3296,29.3681
湖州,120.2715,30.0555
丽水,119.6595,31.2417
衢州,119.2953,30.4375
烟台,116.4092,36.8548
威海,117.4973,36.3344
潍坊,117.672,35.6657
临沂,117.7491,37.5704
济宁,117.4745,37.6066
淄博,116.0099,36.4617
东营,116.1777,37.4709
德州,115.9086,35.9911
滨州,116.8218,35.91
聊城,115.8028,37.6386
泰安,116.3032,36.8862
日照,116.5543,36.8974
洛阳,113.4418,34.01
开封,113.5763,34.914
安阳,114.1844,33.8628
新乡,113.6394,34.3959
许昌,113.0446,35.0105
平顶山,112.61,34.3929
南阳,112.8126,35.2334
商丘,114.1763,34.8329
周口,113.3713,34.1184
驻马店,112.884,33.8837
信阳,114.0523,35.3255
宜昌,113.1523,30.8554
襄阳,114.2174,29.5947
荆州,113.3556,30.565
黄石,113.9173,31.3313
鄂州,115.4542,30.953
孝感,114.5854,30.3755
黄冈,114.3733,31.3681
咸宁,113.5872,31.0369
常德,113.0095,27.6301
岳阳,113.7851,27.415
衡阳,112.0461,27.8706
株洲,111.8204,27.7195
湘潭,113.0679,28.5059
益阳,114.1353,27.7379
娄底,113.4314,29.0626
怀化,113.022,27.7682
永州,113.7166,28.7621
郴州,112.7186,28.348
邵阳,113.0679,28.5059
宜宾,104.0272,30.8052
绵阳,103.3898,31.4032
德阳,105.1273,30.258
乐山,103.2655,30.7081
泸州,105.0416,31.5672
南充,102.9452,30.7973
内江,104.0558,31.2693
自贡,103.5795,31.5317
眉山,104.152,30.1082
广安,103.6115,30.6447
达州,104.0911,29.583
巴中,103.8062,30.1383
雅安,104.2702,30.8984
遵义,107.4544,27.6089
六盘水,106.1538,25.9061
安顺,106.1843,26.8974
毕节,106.7013,27.266
铜仁,106.4306,26.9243
桂林,107.234,22.7159
柳州,108.4095,23.2598
北海,109.0026,22.1469
钦州,107.9541,22.0975
玉林,108.7303,22.1245
百色,108.5426,22.7064
贺州,109.3998,23.2838
河池,108.7972,22.7665
梧州,107.5369,21.9461
三亚,110.4504,20.3473
儋州,110.833,19.6746
唐山,113.8198,38.8732
秦皇岛,114.6068,37.3337
保定,115.3975,38.3318
廊坊,114.2875,37.8978
沧州,113.6777,38.8609
邯郸,115.0701,37.2744
邢台,115.4007,37.621
衡水,114.1566,37.6
张家口,115.4217,37.9574
承德,115.6646,38.0911
西藏,91.041,29.8017
香港,113.8266,21.88
澳门,114.3046,22.884
台湾,122.3409,24.4802
南通,117.7852,31.1382
扬州,118.5513,32.7668
盐城,119.7272,31.0827
镇江,119.1292,32.7473
常州,119.5551,32.494
徐州,119.3197,32.5723
淮安,119.6234,31.239
连云港,118.9501,32.5385
芜湖,117.0356,31.1637
安庆,117.7944,30.9328
马鞍山,116.9121,31.0199
蚌埠,118.4155,31.5313
阜阳,117.1334,32.6021
黄山,118.4256,31.0065
宣城,116.494,30.9537
池州,116.7578,32.0552
淮南,116.3286,32.5078
铜陵,116.739,31.212
江门,112.1807,22.8904
惠州,112.2316,24.0293
肇庆,113.4211,22.7107
汕头,114.1051,22.315
潮州,113.4211,22.7107
梅州,112.0667,22.5085
韶关,114.2677,24.0668
河源,113.1634,23.9121
阳江,113.5138,22.9454
湛江,112.1804,23.9839
茂名,112.7596,23.1292
揭阳,113.5354,22.9155
清远,113.6082,23.6077
舟山,120.9661,30.8501
宜春,115.1141,27.7442
景德镇,116.9589,28.5315
萍乡,115.93,28.0289
九江,114.9661,28.3206
赣州,116.2494,29.3932
吉安,115.6656,28.0237
上饶,115.5333,28.0137
