city,province
Beijing,北京市
Shanghai,上海市
Tianjin,天津市
Chongqing,重庆市
Guangzhou,广东省
Shenzhen,广东省
Hangzhou,浙江省
Nanjing,江苏省
Suzhou,江苏省
Chengdu,四川省
Wuhan,湖北省
Xi'an,陕西省
Zhengzhou,河南省
Qingdao,山东省
Ningbo,浙江省
Xiamen,福建省
Fuzhou,福建省
Jinan,山东省
Changsha,湖南省
Hefei,安徽省
Kunming,云南省
Harbin,黑龙江省
Shenyang,辽宁省
Dalian,辽宁省
Changchun,吉林省
Nanchang,江西省
Guiyang,贵州省
Nanning,广西壮族自治区
Haikou,海南省
Lanzhou,甘肃省
Yinchuan,宁夏回族自治区
Xining,青海省
Urumqi,新疆维吾尔自治区
Hohhot,内蒙古自治区
Shijiazhuang,河北省
Taiyuan,山西省
Wuxi,江苏省
Foshan,广东省
Dongguan,广东省
Zhuhai,广东省
Zhongshan,广东省
Wenzhou,浙江省
Jiaxing,浙江省
Shaoxing,浙江省
Jinhua,浙江省
Taizhou,浙江省
Huzhou,浙江省
Lishui,浙江省
Quzhou,浙江省
Yantai,山东省
Weihai,山东省
Weifang,山东省
Linyi,山东省
Jining,山东省
Zibo,山东省
Dongying,山东省
Dezhou,山东省
Binzhou,山东省
Liaocheng,山东省
Tai'an,山东省
Rizhao,山东省
Luoyang,河南省
Kaifeng,河南省
Anyang,河南省
Xinxiang,河南省
Xuchang,河南省
Pingdingshan,河南省
Nanyang,河南省
Shangqiu,河南省
Zhoukou,河南省
Zhumadian,河南省
Xinyang,河南省
Yichang,湖北省
Xiangyang,湖北省
Jingzhou,湖北省
Huangshi,湖北省
Ezhou,湖北省
Xiaogan,湖北省
Huanggang,湖北省
Xianning,湖北省
Changde,湖南省
Yueyang,湖南省
Hengyang,湖南省
Zhuzhou,湖南省
Xiangtan,湖南省
Yiyang,湖南省
Loudi,湖南省
Huaihua,湖南省
Yongzhou,湖南省
Chenzhou,湖南省
Shaoyang,湖南省
Yibin,四川省
Mianyang,四川省
Deyang,四川省
Leshan,四川省
Luzhou,四川省
Nanchong,四川省
Neijiang,四川省
Zigong,四川省
Meishan,四川省
Guang'an,四川省
Dazhou,四川省
Bazhong,四川省
Ya'an,四川省
Zunyi,贵州省
Liupanshui,贵州省
Anshun,贵州省
Bijie,贵州省
Tongren,贵州省
Guilin,广西壮族自治区
Liuzhou,广西壮族自治区
Beihai,广西壮族自治区
Qinzhou,广西壮族自治区
Yulin,广西壮族自治区
Baise,广西壮族自治区
Hezhou,广西壮族自治区
Hechi,广西壮族自治区
Wuzhou,广西壮族自治区
Sanya,海南省
Danzhou,海南省
Tangshan,河北省
Qinhuangdao,河北省
Baoding,河北省
Langfang,河北省
Cangzhou,河北省
Handan,河北省
Xingtai,河北省
Hengshui,河北省
Zhangjiakou,河北省
Chengde,河北省
Tibet,西藏自治区
Hong Kong,香港特别行政区
Macau,澳门特别行政区
Taiwan,台湾省
Nantong,江苏省
Yangzhou,江苏省
Yancheng,江苏省
Zhenjiang,江苏省
Changzhou,江苏省
Xuzhou,江苏省
Huaian,江苏省
Lianyungang,江苏省
Wuhu,安徽省
Anqing,安徽省
Maanshan,安徽省
Bengbu,安徽省
Fuyang,安徽省
Huangshan,安徽省
Xuancheng,安徽省
Chizhou,安徽省
Huainan,安徽省
Tongling,安徽省
Jiangmen,广东省
Huizhou,广东省
Zhaoqing,广东省
Shantou,广东省
Chaozhou,广东省
Meizhou,广东省
Shaoguan,广东省
Heyuan,广东省
Yangjiang,广东省
Zhanjiang,广东省
Maoming,广东省
Jieyang,广东省
Qingyuan,广东省
Jinhua,浙江省
Huzhou,浙江省
Lishui,浙江省
Quzhou,浙江省
Taizhou,浙江省
Zhoushan,浙江省
Yichun,江西省
Jingdezhen,江西省
Pingxiang,江西省
Jiujiang,江西省
Ganzhou,江西省
Ji'an,江西省
Shangrao,江西省
Fuzhou Jiangxi,江西省
Putian,福建省
Longyan,福建省
Sanming,福建省
Ningde,福建省
Zhangzhou,福建省
Quanzhou,福建省
Nanping,福建省
Baoji,陕西省
Xianyang,陕西省
Weinan,陕西省
Hanzhong,陕西省
Ankang,陕西省
